Epoch,Recon_Loss,KL_Loss,Total_Loss,LR,Time(min)
1,0.3804952690475865,276.18493973581417,0.3807714539873223,2.666666666666667e-06,0.36718100706736245
2,0.36969539209416036,279.57191547594573,0.3699749640096363,5.333333333333334e-06,0.32829729715983075
3,0.36153735142005117,276.6728579872533,0.36181402427803844,8e-06,0.32787328561147056
4,0.35501593351364136,273.5262242367393,0.3552894597378781,1.0666666666666667e-05,0.3288685162862142
5,0.34757897885222183,271.8239376670436,0.3478508027898889,1.3333333333333335e-05,0.34277324279149374
6,0.3385624289512634,270.3668630499589,0.33883279581431336,1.6e-05,0.33144567012786863
7,0.3265617238847833,277.7987365722656,0.3268395226213555,1.866666666666667e-05,0.3289684693018595
8,0.30582859327918605,295.9974879214638,0.3061245907671075,2.1333333333333335e-05,0.32939086357752484
9,0.25796227000261607,334.46814125462583,0.2582967381438707,2.4e-05,0.32799019018809
10,0.16054491228178927,402.2900053325452,0.1609472022871218,2.666666666666667e-05,0.3287217696507772
11,0.09258374336518739,496.3767684133429,0.09308012013360073,2.9333333333333333e-05,0.328887931505839
12,0.07471885296859239,567.7078632555509,0.07528656083184794,3.2e-05,0.33078024387359617
13,0.0667089027793784,605.9212132504111,0.06731482399262881,3.4666666666666665e-05,0.3302223006884257
14,0.061332862824201584,635.0921695106908,0.06196795499371228,3.733333333333334e-05,0.32827200094858805
15,0.05726529599020356,653.1091469212582,0.05791840513712482,4e-05,0.3301479021708171
16,0.05603931275637526,677.5062801963404,0.0567168190365716,4.266666666666667e-05,0.33160125017166137
17,0.052524267646827195,686.0861687911184,0.05321035381561831,4.5333333333333335e-05,0.3334056576093038
18,0.04986785901220221,689.8766415244654,0.050557735653726676,4.8e-05,0.3313654899597168
19,0.04729808533662244,696.1998226768092,0.04799428515929925,5.066666666666667e-05,0.3305042942365011
20,0.047449210364567604,702.2209665398849,0.04815143133110749,5.333333333333334e-05,0.330511470635732
21,0.0449760250355068,696.4279913651316,0.04567245302687193,5.6e-05,0.32989503145217897
22,0.04379206856614665,693.1026996813322,0.04448517126582798,5.8666666666666665e-05,0.3313026547431946
23,0.042564709915926584,677.2079981753701,0.04324191791410195,6.133333333333334e-05,0.33231274684270223
24,0.04124563422642256,673.5552528782895,0.041919189479300845,6.4e-05,0.33316768805185953
25,0.041731671675255426,653.7290167557566,0.04238540069201118,6.666666666666667e-05,0.33491188287734985
26,0.04004059300610894,643.66552734375,0.040684258533452686,6.933333333333333e-05,0.3303356607755025
27,0.03908750493275492,632.9794793379934,0.03972048441209291,7.2e-05,0.3274850924809774
28,0.039558271240246926,623.6637926603619,0.04018193503290729,7.466666666666667e-05,0.3272198557853699
29,0.03640297917943252,617.0340801038241,0.03702001325953634,7.733333333333333e-05,0.3267362872759501
30,0.03550795014751585,610.8517359683389,0.03611880188348419,8e-05,0.32864706913630165
31,0.03682058108480353,601.1668444181744,0.037421747929221705,8.266666666666667e-05,0.3295756220817566
32,0.03516698805125136,594.5424065840872,0.03576153045783545,8.533333333333334e-05,0.3301953872044881
33,0.03376877484352965,583.6093557257401,0.03435238419925539,8.8e-05,0.3287931402524312
34,0.03583617253523124,570.7042878803454,0.036406876823111584,9.066666666666667e-05,0.331242569287618
35,0.03498566307519611,562.0170384457236,0.03554768011364184,9.333333333333334e-05,0.32859092156092323
36,0.03396264924422691,554.0549541272616,0.03451670419835417,9.6e-05,0.33147708972295126
37,0.03322283560900312,538.6334357010691,0.03376146904470419,9.866666666666668e-05,0.33335667053858437
38,0.031122592032739992,535.0834479081003,0.031657675480648094,0.00010133333333333333,0.33357348044713336
39,0.031988585367798805,534.7259168122944,0.0325233112846111,0.000104,0.32856048742930094
40,0.03210217250805152,524.4212678608142,0.03262659377591234,0.00010666666666666668,0.32998271385828654
41,0.029956287165221415,519.9623316714639,0.030476249496892878,0.00010933333333333334,0.32931291262308754
42,0.0291941770793576,515.1004397743627,0.029709277519131962,0.000112,0.3295424540837606
43,0.03033641490497087,502.8519367418791,0.030839266841712752,0.00011466666666666667,0.33857205708821614
44,0.029534732236673956,499.4342972604852,0.03003416653393444,0.00011733333333333333,0.3282398025194804
45,0.031255226974424566,488.25183587325245,0.03174347881029782,0.00012,0.3309457302093506
46,0.02791232547085536,486.37131861636516,0.028398696789471725,0.00012266666666666668,0.328315794467926
47,0.02856552983193021,486.64370085063734,0.029052173532780848,0.00012533333333333334,0.33186449607213336
48,0.029980896825068874,476.92532027395146,0.030457822145342827,0.000128,0.331001353263855
49,0.02875410637965328,476.923828125,0.02923103020777828,0.00013066666666666665,0.3298296531041463
50,0.027099435854899257,475.78964072779604,0.02757522549562705,0.00013333333333333334,0.3322613000869751
51,0.027059898466656084,469.0684027420847,0.02752896686939817,0.00013600000000000003,0.33304186662038165
52,0.02619665792505992,471.05861141807156,0.02666771653647799,0.00013866666666666666,0.3369665662447611
53,0.026178712123318723,473.40241924085115,0.026652114542559575,0.00014133333333333334,0.340439236164093
54,0.02786935944306223,466.7081893117804,0.02833606763237401,0.000144,0.3287595828374227
