Epoch,Train_Loss,Val_Loss,Val_MAE,LR
1,0.18177790710559258,0.21709506958723068,0.4578382894396782,0.0
2,0.17804709650002992,0.2013983502984047,0.4406324252486229,6.6666666666666675e-06
3,0.16284412604111892,0.1767956167459488,0.4108012542128563,1.3333333333333335e-05
4,0.13926732826691407,0.14405320957303047,0.36908575147390366,2e-05
5,0.11207962953127347,0.1008418183773756,0.30348120629787445,2.666666666666667e-05
6,0.07629440180384196,0.06093023158609867,0.2272196039557457,3.3333333333333335e-05
7,0.04338878407501257,0.02881764154881239,0.14153138175606728,4e-05
8,0.020550087739068728,0.015586713561788201,0.09257418476045132,4.666666666666667e-05
9,0.0164632207642381,0.014289481099694967,0.09457013383507729,5.333333333333334e-05
10,0.016061822955424968,0.012863843468949199,0.08640968799591064,6e-05
11,0.0137382226351362,0.011442146496847272,0.07803113758563995,6.666666666666667e-05
12,0.013086239950588116,0.01332326396368444,0.08994797617197037,7.333333333333333e-05
13,0.012463438897751845,0.009468945616390556,0.0753343477845192,8e-05
14,0.012629787079416789,0.011233511962927878,0.08154904469847679,8.666666666666667e-05
15,0.012656329056391349,0.012260985444299877,0.08522713556885719,9.333333333333334e-05
16,0.010782200198333997,0.009520779130980372,0.07511497475206852,0.0001
17,0.010252454962867957,0.010430757654830813,0.07832575216889381,0.00010666666666666668
18,0.010276897058177453,0.010511673986911774,0.07729804888367653,0.00011333333333333333
19,0.010097442624660639,0.009821172105148435,0.07206409517675638,0.00012
20,0.01047332903656822,0.008640330110210925,0.06989851593971252,0.0001266666666666667
21,0.010131344951402683,0.009100421564653516,0.07308425940573215,0.00013333333333333334
22,0.010159946118409816,0.008867015014402568,0.07026365585625172,0.00014000000000000001
23,0.009909659122618346,0.008221313240937889,0.06518531404435635,0.00014666666666666666
24,0.00922372557509404,0.009288257919251919,0.0718524307012558,0.00015333333333333334
25,0.00931612878608016,0.008946120971813798,0.06968882866203785,0.00016
26,0.009482154837594582,0.008281119051389396,0.06873872503638268,0.00016666666666666666
27,0.009228959500503082,0.008170722285285592,0.06495784781873226,0.00017333333333333334
28,0.009128415849632941,0.008048215531744063,0.06579705886542797,0.00017999999999999998
29,0.00916209053964569,0.008362701977603137,0.06570181995630264,0.0001866666666666667
30,0.009044896703786574,0.007450600329320878,0.0619809040799737,0.00019333333333333333
31,0.008531627460167958,0.00827012094669044,0.06592187657952309,0.0002
32,0.00886978037082232,0.0077650241437368095,0.06316200271248817,0.00020666666666666666
33,0.008189669774415402,0.008078932645730674,0.06572711374610662,0.00021333333333333336
34,0.008629272871005993,0.008127997745759785,0.06626047473400831,0.00022
35,0.0083256781531068,0.008162403712049127,0.0672171013429761,0.00022666666666666666
36,0.00845562731130765,0.007654179236851633,0.06269377376884222,0.00023333333333333333
37,0.008366544981702017,0.007459224259946495,0.06450759526342154,0.00024
38,0.0083826335075383,0.007260098005644977,0.06406821310520172,0.0002466666666666667
39,0.008627060550050093,0.007370022940449417,0.06225567031651735,0.0002533333333333334
40,0.00814936700491951,0.00822973100002855,0.06557902880012989,0.00026000000000000003
41,0.008282751597177524,0.007964480086229742,0.06545052211731672,0.0002666666666666667
42,0.008163311088887544,0.008356593316420913,0.06671496387571096,0.00027333333333333333
43,0.008618545324469987,0.008147764718160033,0.06697496213018894,0.00028000000000000003
44,0.008328381818361007,0.007256693847011775,0.06283734925091267,0.0002866666666666667
45,0.008124690502882004,0.007183625712059438,0.061231428757309914,0.0002933333333333333
46,0.008056286794061843,0.007826958550140262,0.06454059109091759,0.0003
47,0.008267526443188008,0.007660738192498684,0.06381027866154909,0.0003066666666666667
48,0.00837799426741325,0.007852212409488857,0.06391890905797482,0.0003133333333333334
49,0.008076471670602377,0.007099094451405108,0.06155256275087595,0.00032
50,0.008080995999849759,0.006898132967762649,0.059086352586746216,0.0003266666666666667
51,0.008033931291160675,0.0073323253891430795,0.06307619251310825,0.0003333333333333333
52,0.007968680145075688,0.007425688090734184,0.06190564390271902,0.00034
53,0.007846251810685946,0.007501014159061015,0.06347737088799477,0.00034666666666666667
54,0.008250043727457523,0.007435644627548754,0.06310717016458511,0.0003533333333333333
